Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
BORJA,10,2018,35.6,28.1,-0.6,14.8
BORJA,8,2018,22.4,37.8,13.3,24.2
BORJA,7,2018,7.8,37.1,13.9,24.7
BORJA,12,2018,15.2,17.8,-1.2,7.4
BORJA,2,2018,45.5,18.1,-0.4,8.7
BORJA,9,2018,14.4,33.1,10.5,21.4
BORJA,1,2018,57.1,19.8,-3.7,7.1
CALAMOCHA,8,2018,49,37.6,9.7,22.7
CALAMOCHA,2,2018,23,20.5,-4.4,7
CALAMOCHA,6,2018,58.2,33.3,6.8,18.4
CALAMOCHA,3,2018,36,21.6,-2.8,7.5
CALAMOCHA,10,2018,120.6,27.8,-1.2,12.3
CALAMOCHA,5,2018,85.2,27.1,-0.9,14
CALAMOCHA,11,2018,40.8,19,-2.9,8.3
CALAMOCHA,7,2018,9.2,36.6,10,23.1
CALAMOCHA,4,2018,97.8,26.2,-0.8,11.1
CALAMOCHA,12,2018,14.4,20.3,-5.8,6.1
CALAMOCHA,1,2018,19.4,18.8,-6.2,5.6
CALAMOCHA,9,2018,22.6,32.2,6.1,20
CALATAYUD,6,2018,20,34.1,9.2,20.2
CALATAYUD,9,2018,32.4,34.6,6.8,21.6
CALATAYUD,3,2018,48.2,23.4,-0.4,8.9
CALATAYUD,10,2018,50,29.5,-0.3,14
CALATAYUD,5,2018,67.6,26.6,1.9,15.8
CALATAYUD,11,2018,32.6,20.3,-1.6,9.8
CALATAYUD,4,2018,87.2,24.8,-0.1,12.5
CALATAYUD,7,2018,21.8,37.8,13.3,24.8
CALATAYUD,1,2018,17.6,16.8,-5,6.5
CALATAYUD,2,2018,18,20,-2.2,8
CALATAYUD,8,2018,30.4,39,11.2,24.5
CALATAYUD,12,2018,10.4,19.1,-4.7,7.2
CANDASNOS,5,2018,66.8,28.7,1.8,16.7
CANDASNOS,3,2018,31.1,23.9,-1.3,9.4
CANDASNOS,10,2018,152.5,27.8,-1.3,14.3
CANDASNOS,6,2018,23.3,36.3,10.7,21.4
CANDASNOS,11,2018,43,20.1,-1.2,9.4
CANDASNOS,7,2018,20.1,38.3,14.4,25
CANDASNOS,8,2018,9.4,38.5,12.5,24.2
CANDASNOS,12,2018,13.8,17.6,-2.3,6.1
CANDASNOS,4,2018,93.1,28.2,2,13.5
CANDASNOS,2,2018,30.8,17.7,-1.6,8.4
CANDASNOS,9,2018,6.2,35,6.8,21.6
CANDASNOS,1,2018,28,19.3,-5.3,7.5
CASPE,12,2018,10.6,17,-0.8,8
CASPE,10,2018,78,28.7,3.4,16.6
CASPE,3,2018,29.4,25.9,1.9,11.5
CASPE,6,2018,23.8,36.8,14.1,23.8
CASPE,11,2018,47.8,20.1,1.7,11.3
CASPE,5,2018,70.2,30.6,6.3,19
CASPE,4,2018,70.2,29.2,3.7,15.3
CASPE,8,2018,23.4,40.2,15.7,27
CASPE,7,2018,12.6,38.3,17.5,27.9
CASPE,2,2018,23.2,20.5,1.1,10.1
CASPE,9,2018,13.8,35.2,13.1,23.9
CASPE,1,2018,36.6,20.9,-2,9.3
CASTEJÓN DE VALDEJASA,5,2018,77,25.7,0.9,15
CASTEJÓN DE VALDEJASA,6,2018,9.8,32.9,8.9,19.9
CASTEJÓN DE VALDEJASA,3,2018,62.6,19.1,-0.6,8
CASTEJÓN DE VALDEJASA,10,2018,61,26.6,2.2,14.6
CASTEJÓN DE VALDEJASA,8,2018,16.4,36.9,10.6,23.5
CASTEJÓN DE VALDEJASA,4,2018,155.4,24.3,1.1,12.5
CASTEJÓN DE VALDEJASA,7,2018,13.2,36.4,12.6,24.1
CASTEJÓN DE VALDEJASA,11,2018,45.2,18.3,1.9,10
CASTEJÓN DE VALDEJASA,1,2018,55.8,16.4,-1.5,7
CASTEJÓN DE VALDEJASA,2,2018,45.4,17,0.2,8.5
CASTEJÓN DE VALDEJASA,12,2018,15.6,17,0.5,7.7
CASTEJÓN DE VALDEJASA,9,2018,4.4,31.9,7.7,21.5
CASTELLOTE,8,2018,21.6,36.3,12.4,24.2
CASTELLOTE,4,2018,69.2,25.1,1,12.9
CASTELLOTE,10,2018,206.8,28.3,2.1,14.4
CASTELLOTE,3,2018,16.8,24.4,-0.7,9.4
CASTELLOTE,6,2018,48.2,32.7,11.3,20.2
CASTELLOTE,5,2018,81.4,25.3,3.9,15.2
CASTELLOTE,11,2018,42.2,20.3,2.7,10.4
CASTELLOTE,7,2018,50.6,34.7,15,24.6
CASTELLOTE,9,2018,5.2,31.7,11.6,21.6
CASTELLOTE,2,2018,23,19.3,1.1,9.3
CASTELLOTE,1,2018,41,18.8,-0.9,8.4
CASTELLOTE,12,2018,15,21.9,-1.8,9.9
CEDRILLAS,5,2018,123.4,20.1,2.7,10.4
CEDRILLAS,11,2018,50.2,15.3,-3.1,5.5
CEDRILLAS,7,2018,36.2,30,8.9,19.1
CEDRILLAS,6,2018,146.6,29,5,15.1
CEDRILLAS,10,2018,188,22.6,-3.4,9.3
CEDRILLAS,3,2018,53.2,17.5,-6.3,3.7
CEDRILLAS,8,2018,93.8,32.7,8.2,19.4
CEDRILLAS,4,2018,42.2,21.7,-1.6,7.7
CEDRILLAS,2,2018,18,16.3,-5,4.3
CEDRILLAS,1,2018,16,15.4,-7.4,3.3
CEDRILLAS,9,2018,43.6,26.8,4.6,16.6
CEDRILLAS,12,2018,15.6,18.2,-4,5.4
DAROCA,5,2018,64.8,26.4,-0.1,14.5
DAROCA,10,2018,84,28.1,-0.7,12.9
DAROCA,6,2018,143.1,33.5,7.7,18.8
DAROCA,3,2018,43.5,21.8,-2.5,7.6
DAROCA,7,2018,16.4,35.5,11.4,23.3
DAROCA,8,2018,31,37.5,10.2,23.2
DAROCA,11,2018,32.4,19.6,-2,8.8
DAROCA,4,2018,107.6,24.4,-0.5,11.6
DAROCA,12,2018,16,18.9,-5.4,6.4
DAROCA,1,2018,21.4,17.1,-6.3,5.8
DAROCA,2,2018,15,20.2,-4,7.4
DAROCA,9,2018,30.6,32.9,7,20.5
EJEA DE LOS CABALLEROS,4,2018,148.6,26.6,-0.1,13.7
EJEA DE LOS CABALLEROS,5,2018,62.6,27.7,0.8,14.3
EJEA DE LOS CABALLEROS,3,2018,68.6,21,0.3,9.2
EJEA DE LOS CABALLEROS,10,2018,48.2,27.9,-0.1,15.2
EJEA DE LOS CABALLEROS,6,2018,26.6,35,12,21.6
EJEA DE LOS CABALLEROS,8,2018,8.6,38.8,12.6,24.6
EJEA DE LOS CABALLEROS,11,2018,37.8,19.4,0.3,10.7
EJEA DE LOS CABALLEROS,7,2018,20.6,37.7,15,25.3
EJEA DE LOS CABALLEROS,1,2018,54.6,19,-2.3,7.5
EJEA DE LOS CABALLEROS,12,2018,15.6,16.7,-3.1,7.8
EJEA DE LOS CABALLEROS,2,2018,31,18.6,-0.7,9.1
EJEA DE LOS CABALLEROS,9,2018,9,33.9,9.4,22.2
FRAGA,3,2018,28.2,25.2,1.6,11.5
FRAGA,10,2018,123.4,29.2,3.4,16.9
FRAGA,5,2018,53.2,28.7,4.4,18.7
FRAGA,11,2018,50.6,21.5,0.1,11.2
FRAGA,4,2018,85.8,29.2,4,15
FRAGA,6,2018,7.6,36.6,12.9,23.7
FRAGA,12,2018,12.8,18.4,-0.3,7.6
FRAGA,8,2018,6.8,39.5,15.3,27.1
FRAGA,7,2018,54,38,17,27.4
FRAGA,2,2018,23.2,19.4,1.5,10.1
FRAGA,9,2018,3.6,35.4,11.4,24.3
FRAGA,1,2018,33.4,21.2,-2,9
HECHO,1,2018,41.8,17.1,-4.1,5.4
HECHO,2,2018,139,18.9,-3.4,6.1
HECHO,6,2018,183.6,29.7,6.2,17
HECHO,5,2018,106.6,24.1,-2.7,12.4
HECHO,3,2018,237.2,17.3,-3,5.2
HECHO,10,2018,94.4,25.6,-2.5,12.2
HECHO,11,2018,97.6,18,-2.6,7.3
HECHO,8,2018,18,35.2,6,20.6
HECHO,7,2018,25.4,33.4,8.6,20.9
HECHO,4,2018,170.8,25.6,-3.2,9.9
HECHO,9,2018,40,30,3.8,18.2
HECHO,12,2018,23.8,18,-3.3,6.6
HIJAR,9,2018,38,34.7,11.3,23.4
HIJAR,3,2018,24.2,27.9,1.7,11.7
HIJAR,10,2018,76,29.9,3.6,16.2
HIJAR,5,2018,61.6,28.3,5,18.2
HIJAR,6,2018,19,36.2,13.4,23.3
HIJAR,11,2018,29.2,21.1,1.6,11.3
HIJAR,4,2018,72.8,28.4,2.2,14.7
HIJAR,8,2018,75.2,40.6,13.8,26.6
HIJAR,2,2018,18.5,21,0,9.9
